output, calc
31389, 0.6083333333333343
31055, 0.051666666666669414
31040, 0.02666666666666373
31055, 0.051666666666669414
31040, 0.02666666666666373
31070, 0.07666666666666799
31040, 0.02666666666666373
31040, 0.02666666666666373
31055, 0.051666666666669414
31026, 0.0033333333333303017
31040, 0.02666666666666373
31040, 0.02666666666666373
31010, -0.023333333333333428
30919, -0.17499999999999716
30813, -0.35166666666666657
30782, -0.403333333333336
30634, -0.6499999999999986
30603, -0.701666666666668
30590, -0.7233333333333292
30425, -0.9983333333333348
30276, -1.2466666666666697
30070, -1.5900000000000034
29877, -1.9116666666666688
30055, -1.615000000000002
30099, -1.5416666666666714
30128, -1.4933333333333323
29981, -1.7383333333333297
30529, -0.8249999999999957
30514, -0.8500000000000014
30470, -0.923333333333332
30559, -0.7749999999999986
30619, -0.6749999999999972
30634, -0.6499999999999986
30559, -0.7749999999999986
30603, -0.701666666666668
30724, -0.5
30782, -0.403333333333336
30649, -0.625
30619, -0.6749999999999972
30545, -0.798333333333332
30485, -0.8983333333333334
30381, -1.0716666666666654
30276, -1.2466666666666697
30144, -1.4666666666666686
30172, -1.4200000000000017
30322, -1.1700000000000017
30336, -1.1466666666666683
30396, -1.0466666666666669
30470, -0.923333333333332
30574, -0.75
30603, -0.701666666666668
30559, -0.7749999999999986
30440, -0.9733333333333292
30381, -1.0716666666666654
30336, -1.1466666666666683
30485, -0.8983333333333334
30619, -0.6749999999999972
30634, -0.6499999999999986
30649, -0.625
30603, -0.701666666666668
30470, -0.923333333333332
30529, -0.8249999999999957
30619, -0.6749999999999972
30679, -0.5749999999999957
30693, -0.5516666666666694
30693, -0.5516666666666694
30679, -0.5749999999999957
30634, -0.6499999999999986
30559, -0.7749999999999986
30545, -0.798333333333332
30500, -0.8733333333333348
30396, -1.0466666666666669
30381, -1.0716666666666654
30322, -1.1700000000000017
30350, -1.1233333333333348
30485, -0.8983333333333334
30440, -0.9733333333333292
30425, -0.9983333333333348
30470, -0.923333333333332
30425, -0.9983333333333348
30455, -0.9483333333333377
30470, -0.923333333333332
30410, -1.0233333333333334
30410, -1.0233333333333334
30425, -0.9983333333333348
30514, -0.8500000000000014
30470, -0.923333333333332
30276, -1.2466666666666697
30485, -0.8983333333333334
30485, -0.8983333333333334
30440, -0.9733333333333292
30425, -0.9983333333333348
30455, -0.9483333333333377
30366, -1.0966666666666711
30322, -1.1700000000000017
30366, -1.0966666666666711
30292, -1.2199999999999989
30172, -1.4200000000000017
30306, -1.1966666666666654
30055, -1.615000000000002
30203, -1.3683333333333323
30292, -1.2199999999999989
30203, -1.3683333333333323
30219, -1.3416666666666686
30276, -1.2466666666666697
30322, -1.1700000000000017
30529, -0.8249999999999957
30649, -0.625
30619, -0.6749999999999972
30603, -0.701666666666668
30485, -0.8983333333333334
30440, -0.9733333333333292
30246, -1.2966666666666669
30070, -1.5900000000000034
30055, -1.615000000000002
30336, -1.1466666666666683
30262, -1.269999999999996
30396, -1.0466666666666669
30545, -0.798333333333332
30634, -0.6499999999999986
30664, -0.6000000000000014
30679, -0.5749999999999957
30708, -0.5266666666666637
30664, -0.6000000000000014
30634, -0.6499999999999986
30634, -0.6499999999999986
30679, -0.5749999999999957
30664, -0.6000000000000014
30708, -0.5266666666666637
30738, -0.47666666666666657
30693, -0.5516666666666694
30634, -0.6499999999999986
30619, -0.6749999999999972
30649, -0.625
30603, -0.701666666666668
30590, -0.7233333333333292
30545, -0.798333333333332
30545, -0.798333333333332
30574, -0.75
30619, -0.6749999999999972
30590, -0.7233333333333292
30590, -0.7233333333333292
30470, -0.923333333333332
30500, -0.8733333333333348
30514, -0.8500000000000014
30603, -0.701666666666668
30590, -0.7233333333333292
30619, -0.6749999999999972
30664, -0.6000000000000014
30664, -0.6000000000000014
30679, -0.5749999999999957
30664, -0.6000000000000014
30649, -0.625
30664, -0.6000000000000014
30664, -0.6000000000000014
30545, -0.798333333333332
30485, -0.8983333333333334
30559, -0.7749999999999986
30366, -1.0966666666666711
30381, -1.0716666666666654
30455, -0.9483333333333377
30322, -1.1700000000000017
30276, -1.2466666666666697
30246, -1.2966666666666669
29952, -1.7866666666666617
30322, -1.1700000000000017
30336, -1.1466666666666683
30396, -1.0466666666666669
30396, -1.0466666666666669
30336, -1.1466666666666683
30203, -1.3683333333333323
30470, -0.923333333333332
30485, -0.8983333333333334
30485, -0.8983333333333334
30440, -0.9733333333333292
30292, -1.2199999999999989
29952, -1.7866666666666617
29401, -2.7049999999999983
29674, -2.25
30114, -1.5166666666666657
31313, 0.48166666666666913
30980, -0.07333333333333059
31026, 0.0033333333333303017
